,loss,dice_coef,accuracy,val_loss,val_dice_coef,val_accuracy,lr
0,1.5778918266296387,0.24236199259757996,0.26096996665000916,1.0994994640350342,0.3832402527332306,0.6521739363670349,9.999999747378752e-05
1,1.2373502254486084,0.39674004912376404,0.5277135968208313,0.6157223582267761,0.5870054364204407,0.8913043737411499,9.623506048228592e-05
2,0.9202959537506104,0.5561636686325073,0.6789838075637817,0.3407081067562103,0.775740385055542,0.8913043737411499,9.261187369702384e-05
3,0.7727588415145874,0.6333837509155273,0.7240184545516968,0.3002367317676544,0.8046887516975403,0.9130434989929199,8.912509656511247e-05
4,0.5791056752204895,0.7105386853218079,0.8129330277442932,0.11679289489984512,0.9041872024536133,0.97826087474823,8.57695922604762e-05
5,0.5518805384635925,0.7311904430389404,0.8129330277442932,0.14277634024620056,0.8917096257209778,0.989130437374115,8.2540420407895e-05
6,0.40117794275283813,0.8050603866577148,0.8695150017738342,0.0734662413597107,0.9441422820091248,0.97826087474823,7.943282253108919e-05
7,0.3621152639389038,0.8305127024650574,0.8914549946784973,0.07004476338624954,0.9476655125617981,0.97826087474823,7.644222932867706e-05
8,0.26916027069091797,0.8623802065849304,0.9006928205490112,0.030575184151530266,0.9745801091194153,1.0,7.35642242943868e-05
9,0.40405547618865967,0.8035448789596558,0.861431896686554,0.12203015387058258,0.9160065054893494,0.967391312122345,7.079458009684458e-05
10,0.27490633726119995,0.856180727481842,0.9087759852409363,0.006607356946915388,0.993516206741333,1.0,6.812920764787123e-05
11,0.20399437844753265,0.8971875309944153,0.929561197757721,0.04173213988542557,0.9744434356689453,0.989130437374115,6.556418520631269e-05
12,0.20203496515750885,0.9010044932365417,0.943418025970459,0.02830027975142002,0.9773702025413513,1.0,6.30957365501672e-05
13,0.15573348104953766,0.9206292629241943,0.9595842957496643,0.015574170276522636,0.9884734749794006,0.989130437374115,6.072022006264888e-05
14,0.11424440890550613,0.938169002532959,0.96304851770401,0.060060515999794006,0.9593284726142883,0.967391312122345,5.8434139646124095e-05
15,0.11229317635297775,0.9450288414955139,0.9653579592704773,0.01548092532902956,0.9869806170463562,1.0,5.62341338081751e-05
16,0.07081321626901627,0.9625772833824158,0.980369508266449,0.013116876594722271,0.9901898503303528,1.0,5.4116953833727166e-05
17,0.12894178926944733,0.936151385307312,0.9595842957496643,0.030688948929309845,0.9804795384407043,0.97826087474823,5.207948197494261e-05
18,0.06335479021072388,0.9660611152648926,0.9849884510040283,0.013149691745638847,0.9913515448570251,0.989130437374115,5.0118724175263196e-05
19,0.058576732873916626,0.9688092470169067,0.982679009437561,0.06978198885917664,0.9818182587623596,0.989130437374115,4.823178460355848e-05
20,0.03497057408094406,0.9792008996009827,0.991916835308075,0.007515605539083481,0.9941897392272949,1.0,4.641588748199865e-05
21,0.04454763978719711,0.9760226011276245,0.9849884510040283,0.0019456277368590236,0.9982759952545166,1.0,4.46683588961605e-05
22,0.051492881029844284,0.9728296995162964,0.9815242290496826,0.01368730328977108,0.9895341992378235,0.989130437374115,4.29866231570486e-05
23,0.027681510895490646,0.9834949374198914,0.9907621145248413,0.009302085265517235,0.9941280484199524,0.989130437374115,4.136820280109532e-05
24,0.029994795098900795,0.9842684864997864,0.9907621145248413,0.0026481463573873043,0.997728168964386,1.0,3.981071859016083e-05
